"type","lat","lng","id","zone","device","description"
"Point","40.37375337242774","-3.650976025466322","5222","city","82403","Cno. Pozo Tio Raimundo - Cno. Pozo Tio Raimundo E-O(Antes Gr. 1)"
"Point","40.3899420306718","-3.70141771469583","4787","city","25021","ANTONIO LOPEZ S-N(S.ZACARIAS-MATI.GAYO)"
"Point","40.38615077903983","-3.7412327800613245","5120","city","51021","MUÑOZ GRANDES O-E(B.TORRIJOS-CASTROJERIZ"
"Point","40.4581821303951","-3.7144732891525973","4507","city","31014","FRANCOS RODRIGUEZ O-E(POLICIA-STO ANGEL DE LA GUARDA)"
"Point","40.45670292364271","-3.7042764244449784","7114","city","31018","Lope de Haro E-O (Giro Izqda)(Berruguete-Francos Rodriguez)"
"Point","40.465190734445535","-3.7101802731491547","4532","city","31054","VILLAAMIL N-S(CAMINO CHORRILLO-SAN RESTITUTO)"
"Point","40.472465638343806","-3.712193613284288","4549","city","32007","AV. BETANZOS S-N(RIBADAVIA-CHANTADA)"
"Point","40.472968557825375","-3.7111918816915903","4550","city","32008","CHANTADA E-O(RIBADAVIA-AV. BETANZOS)"
"Point","40.477521926338525","-3.7120972213673276","4555","city","32013","AV. BETANZOS N-S(AV. MONFORTE DE LEMOS-LA BAQEZA)"
"Point","40.45765693147731","-3.712673980956471","4505","city","31012","FRANCOS RODRIGUEZ O-E (DR.FEDERICO RUBIO-PABLO IGLESIAS)"
"Point","40.413521869428074","-3.6771065371979663","4060","city","10012","Menendez Pelayo N-S - Sainz de Baranda-Puerta Granada"
"Point","40.406144426344284","-3.7015186222399246","4210","city","14014","Meson de Paredes N-S - Miguel Servet-Ronda Valencia"
"Point","40.405532897935736","-3.700601472413504","4211","city","14015"," Ronda Valencia O-E - Meson de Paredes-Fray Luis Leon"
"Point","40.40547823171602","-3.7010990812519977","4212","city","14016","Ronda Valencia E-O - Meson de Paredes-Gta. Embajadores"
"Point","40.404071586286314","-3.7017122793050765","4213","city","14017","Embajadores S-N - Sebastian Elcano-Gta. Embajadores"
"Point","40.39828002940364","-3.7084491722773176","10037","city","14043","Pº Yeserias O-E - Yeserías-Naves"
"Point","40.419820335805184","-3.690436479433261","3671","city","15003"," Alcala E-O - Pl. Independencia-Pl. Cibeles"
"Point","40.42516391565966","-3.707441700819139","4393","city","18020","San Bernardo N-S - Noviciado-Reyes"
"Point","40.42558135546784","-3.707572344239033","4394","city","18021"," Noviciado O-E - Norte-San Bernardo"
"Point","40.43015214945738","-3.71416975359279","4402","city","18024","Serrano Jover N-S( Lateral Izquierdo) - Alberto Aguilera-Sta Cruz de Marcenado"
"Point","40.460370635301","-3.6750354866793233","5558","city","61046","Alfonso XIII E-O - Torpedero Tucumán-Encinas"
"Point","40.456214077467386","-3.6920517632604306","5675","city","62062","General Yagüe O-E - Capitán Haya-PºCastellana"
"Point","40.391418197599045","-3.6412059623457464","6451","city","65040","C/. Andaluces - Av. Rafael Alberti-Av. Pablo Neruda"
"Point","40.40579096472367","-3.627744437615309","6460","city","65053","C/. Laponia - Laponia-Av. Doctor García Tapia"
"Point","40.406555313024164","-3.632188061521242","6461","city","65057","C/. Fuente Carrantona - Av. Doctor García Tapia-Mario Cabré"
"Point","40.40921251341901","-3.642508381353846","6452","city","65041","Av. Moratalaz  - Camimo Vinateros-Av. Doctor García Tapia"
"Point","40.410793655089435","-3.6306544047369522","6458","city","65049","C/. José Bergamin - José Bergamín-Fuente Carrantona"
"Point","40.40656177074328","-3.625890387995421","3833","city","65051","Av. Doctor García Tapia - M-40-Rabat"
"Point","40.40756196516079","-3.6273380342284853","6459","city","65052","C/. Rabat - Rabat-Av. Doctor García Tapia"
"Point","40.42950863581792","-3.7055195213960066","4398","city","18302"," Gta. Ruiz Jimenez E-O(Delante G. 5) -  Gta. Ruiz Jimenez E-O(Delante G. 5)"
"Point","40.452679679256505","-3.6774156390090296","5547","city","61035","Principe de Vergara S-N - Concha Espina-Pl.República Ecuador"
"Point","40.45867562988446","-3.680830871855654","5575","city","61064","Alberto Alcocer E-O - Víctor Andrés Belaunde-Pº de la Habana"
"Point","40.40929817335621","-3.7134040686876286","4265","city","97045","Gran Vía San Francisco S-N - San Bernabé-Cra.San Francisco"
"Point","40.380009225032865","-3.652763357249998","5788","city","40006","Av. Buenos Aires - Túnel Av. San Diego-Av. Pablo Neruda"
"Point","40.434049148355605","-3.6461108654295082","5926","city","44024","C/. Alcalá  - Urquiza-Gutierre de Cetina"
"Point","40.430202859884425","-3.6577440662744736","5930","city","44032","C/. Ricardo Ortíz - Ricardo Ortíz- Alcalá"
"Point","40.45024955562426","-3.6519097730053085","6050","city","46405","C/. Arturo Soria - Giro a Torrecilla del Puerto"
"Point","40.4499588610818","-3.6520005959788238","6051","city","46406","C/. Ramírez de Arellano - Agastia-Arturo Soria"
"Point","40.409338109750664","-3.6123736332289926","6209","city","54021","C/. Casalarreina  - Cordovín-Ezcaray"
"Point","40.44180345369252","-3.682052989086375","3721","city","3006","Joaquin Costa 70 E-O (Velazquez - Gta. Lopez de Hoyos) - (Velazquez - Gta. Lopez de Hoyos)"
"Point","40.40660762775182","-3.6872924051976566","4164","city","13016","Pº Reina Cristina E-O - Jose Anselmo Clave-Alfonso XII"
"Point","40.44095998808928","-3.6919177143443536","4467","city","22302"," Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5) -  Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5)"
"Point","40.4599162536343","-3.676692389709397","5544","city","61032","Principe de Vergara N-S - Pl.Perú-Pl.República Dominicana"
"Point","40.42089525015057","-3.6121057101184935","6410","city","64025","C/. Aquitania - Toscana-Av. Canillejas a Vicálvaro"
